x,Curve1
1.036,0.357
1.1443,1.499
1.2664,2.391
1.417,3.319
1.6245,4.211
1.9102,5.138
2.196,6.03
2.4461,6.885
2.6676,7.599
2.8604,8.169
3.0461,8.775
3.2533,9.417
3.4106,10.023
3.5822,10.701
3.7681,11.414
3.9109,11.771
4.0257,12.52
4.2259,13.305
4.369,13.947
4.5193,14.625
4.6412,15.339
4.7776,16.266
4.9708,17.123
5.0784,17.801
5.2148,18.764
5.3727,19.835
5.4877,20.727
5.6173,21.834
5.7107,22.583
5.7759,23.476
5.9054,24.546
5.9993,25.617
6.0929,26.438
6.1723,27.331
6.2447,28.295
6.3599,29.366
6.382,29.937
6.426,30.901
6.4766,31.543
6.549,32.507
6.6142,33.364
6.6728,34.614
6.7739,35.792
6.7965,36.72
6.8546,37.649
6.8912,38.434
6.9353,39.505
7.001,40.791
7.0524,42.005
7.1038,43.183
7.1478,44.219
7.164,45.683
7.23,47.182
7.2741,48.254
7.3043,49.575
7.3411,50.468
7.3707,51.36
7.4009,52.682
7.4318,54.503
7.4373,53.289
7.476,55.681
7.5059,57.497
7.507,57.574
7.5445,59.038
7.5675,60.324
7.5904,61.502
7.5989,62.573
7.643,63.645
7.6439,63.673
